date,000660,AAPL,AMZN,AVGO,BE,GEV,GOOGL,LITE,META,MSFT,MU,NVDA,PLTR,TSLA,VRT
2025-09-06,0.9233688555754435,-0.5252332563004796,0.2729001088506464,-0.03327151504682506,-2.4002076713613136,0.47067361931787105,-0.538923116802046,-0.9084586703440138,0.39167637823458734,1.0737602867304545,0.4959321500507602,1.213810174164122,-0.4468992721040785,-1.1063732104227584,1.117245139457631
2025-09-07,0.9233688555754435,-0.5252332563004796,0.2729001088506464,-0.03327151504682506,-2.4002076713613136,0.47067361931787105,-0.538923116802046,-0.9084586703440138,0.39167637823458734,1.0737602867304545,0.4959321500507602,1.213810174164122,-0.4468992721040785,-1.1063732104227584,1.117245139457631
2025-09-08,0.9204251514888004,-0.5256493798761673,0.2710913693714193,-0.03454603369120286,-2.3973522625050143,0.46851979648791436,-0.5393153537463959,-0.9082061264644368,0.3896603930381287,1.0705541734927508,0.49373425509810503,1.2303482783982669,-0.4474520760353843,-1.1057753371181884,1.113963152061403
2025-09-09,0.9229596626022619,-0.48902336665842827,0.19123090790479239,-0.17982545639270928,-2.2277908332430507,0.2819289320269987,-0.5395352278639877,-0.9495961466037524,0.42781269255573473,1.086428320670337,0.5316682197047895,1.2760877756111662,-0.5885921845890552,-1.086585436165281,1.3428321404401837
2025-09-10,0.7841685964472608,-0.2799283886087268,0.2136022022545998,0.09318827734738182,-2.239878983986675,0.31524091490384637,-0.6136405077734076,-0.9982280750333968,0.40013099261155255,1.2199872441022679,0.42409549257452,1.297024659013206,-0.7833930517790041,-1.0617419230698384,1.2293725509964137
2025-09-11,0.5610224884905596,0.1832343036640922,0.6670725046511201,-0.2842106235348883,-2.388718477851571,0.08136167041629386,-0.378744006806098,-1.2537552482019252,0.7352341926012222,1.367247344064401,0.36750877320596503,1.1757652418697881,-0.7228779750230825,-0.8430844978372685,0.7329443102913917
2025-09-12,0.5375994915344179,0.11478991190508639,0.6914203539761575,-0.004973081111443754,-2.358910115556596,0.2159922489632611,-0.3643971361586791,-1.1800569532457603,0.7559399435642853,1.346959909409801,-0.07232334240045213,1.214075158981305,-0.5799518847386781,-1.1151649072104615,0.7990004020877566
2025-09-13,0.1952792325261138,0.10210532987063244,0.8086733742313689,0.06157400458909434,-2.2508340942447354,0.45770666761408846,-0.2991240490427864,-1.0304121458413353,0.7710291673160912,1.260764612041545,-0.15124674577867042,1.2384751306567245,-0.7457608148077787,-1.3232054516499536,0.9049757825196019
2025-09-14,0.1952792325261138,0.10210532987063244,0.8086733742313689,0.06157400458909434,-2.2508340942447354,0.45770666761408846,-0.2991240490427864,-1.0304121458413353,0.7710291673160912,1.260764612041545,-0.15124674577867042,1.2384751306567245,-0.7457608148077787,-1.3232054516499536,0.9049757825196019
2025-09-15,0.1952792325261138,0.10210532987063244,0.8086733742313689,0.06157400458909434,-2.2508340942447354,0.45770666761408846,-0.2991240490427864,-1.0304121458413353,0.7710291673160912,1.260764612041545,-0.15124674577867042,1.2384751306567245,-0.7457608148077787,-1.3232054516499536,0.9049757825196019
